pubchem_CID,IUPAC Name,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
576372,"3,3-dimethylindazole  ",216795,183174.2,178912.6,375827,230191,333380,72858.45,79478.04,579260,32685.77,372637,156111.7,279934.3,151796,123840.7,242909,198122,264815,408672,107339,163943,145056,100436.1,3827.903,73831.27,202033.7,269062,168726,339225,166110,46884,75219.19,217065,356356,218413.7,239058.5,55518.92,125334,92309,117865,248203,274254,158495.6,485083,272018,414.828,111625,175743.4,299132,127920,122381,508384,107572.3
17100,2-(4-methylcyclohex-3-en-1-yl)propan-2-ol ,25171,35426,34209,21397,214153,26195,35519,33562,30236,202042,431180,29238.09,106970,305375,237614,12626.54,42061,27835,19608.99,19490.28,14597.87,10803.11,30437.34,20547.8,86373,154821,19014.65,13882.79,18461.01,403456,8121.712,325870.1,17653.68,466459,76080.59,397372,206126,425199,24550.37,144897,18831.49,36871,300054,568744,679193,2868.444,306974,25128.89,380882,92716,25559,20315.15,114036.9
6429350,"1-[(1R,7R)-4-methylidene-7-propan-2-yl-1,2,3,3a,5,6,7,7a-octahydroinden-1-yl]ethanone  ",7408.786,10494,12477.32,15453,9553.717,8565.384,9487.618,13444,13670,13849,17507.82,10346,16189,8438,22258.79,13419,14966,19252,8804,11281,11819,9555,12563.5,11894,13206,17511.9,8106,8462,9834.596,17372,8921.497,6147.39,10409.84,6870,15771.63,6102,10005,6817,6615,14919,8293,8945,20005,17760,19044.29,20172,15264,20327.42,16711,10922.07,8881.243,11528.51,11818
16821,5-octyloxolan-2-one  ,14733,13814,16758,6268,7703,11520,5838,11079,12114,10435,15523,11795,9334,18101,7608,12010,9380,9224,8087,1853.588,2288.061,2919,2289.786,2290.279,3031,2127.728,2487,3351.607,2487.517,2642.03,3125,1658.98,2078.813,2437.396,5148,5434,5272,2522,2019.267,2520.127,17377,6104,2090.91,2648.281,5635,1624.227,3437,3673,1946.122,2162.025,1776.747,1418.007,2403.46
6818,"1-O-butyl 2-O-(2-ethylhexyl) benzene-1,2-dicarboxylate  ",16529.29,18672.44,24887.01,12462.35,11847.26,20280.6,6899,16755.59,10995,16815.11,38733,19771.89,16161.73,18600.33,20686.82,20261.03,11709,43358.68,13273.9,8757,11549,16908,14119,15167.29,11957,13168,6362,5010,3739,18507.89,23929.85,8172,12543,6485,13977,10897,6843,6523,5375,20621,8691,11757,31733.98,15456,32169,21294.95,18412.63,34623,27419.2,17341,9890,11447,14742.61
91711798,[2-(2-acetyloxyacetyl)oxyphenyl] 3-fluorobenzoate  ,8402,24802,21910,20550,20402,9514,6257,11220,6508,6187,1462.899,4828.367,14174,912.1083,36448,3395.776,6720,7607,3334,4618,4460,3209,6894,4303,8148,10876,3803,2624.247,12423,2949.409,1787.133,813.0826,3487,1113.753,6853,1235.144,16682,6487,4738,13025,4757.101,6870,5546,26605,1333.521,5064.758,3548.256,4729.691,7440,6232,13045,2668.569,10104
76888,"N'-propan-2-ylpropane-1,3-diamine  ",2185.995,59906,7087,1773.188,4361,4103,5923,2813.223,8404,13748,6813,23289,268.8593,1727.191,21370,5838,76.15115,93.17436,12053,2469.949,2892,1068.547,5713,1101.853,2262.777,11425,231.7831,2280,2851,42591,557.3118,4123.587,759.2165,9601,12101,12813,75.90149,9392,1897.626,4043,4789,1528.532,4065,4293,108.6409,3697071,11382,3435.855,19998,7742,16462.55,4949,12921
136353,"2,3-dihydro-1,4-dioxine  ",2317.079,80487,54145,59962,72684,71187,5442.234,47873.98,48888,62621,80264,49643,69051,8560,3292.598,76992,985.3049,75251,63896.13,40941,74238.83,67668,2452.855,2291.149,61158,44983.67,53295.29,65346,46992,46480.78,12919.64,52964,43627,66668,44066,48617,57697,50229,68105,109666,54794,50658,77609,103637,1819.623,52793.40833,66016.07,56899,46311,84925,64310,71908,72422
136569,"2,3,3-trimethylpenta-1,4-diene  ",19142,19610,29740,23105,44749,26945,23875,43728,40643,42665,65354,27494,24140,76560,46505,506098,147204,42305,22833,21287,18627,21298,28696,44998,17984,45602,28326,38112,14288,64042,19069,47497,17605,98568,20796,96623,36063,75339,35178,57633,15122,35572,72234,116342,146737,30556.84,46613,248262,60203,36462,22580,15203,28591
146102,"2,6-ditert-butyl-4-hydroxy-4-methylcyclohexa-2,5-dien-1-one  ",8074.558,9534.439,10044.05,8678.45,17280,8977,7383.869,9307.986,19480,9839,13753,11385.33,15865,48497,14553,15532.68,15950,9953,15981,7390.379,7491,8982,6813,7807.542,13107,8859,11137,8844,11489,7819,8915,7542,7889,13302,17714,15517,22100,8698.047,9859,10431.1,17351,14438,12510.94,12059.46,17538,12496,14029,10124,7486,9686,6430.534,7793,10193
537092,4-propan-2-yloxybutan-1-ol  ,177523,390854,392688,365575,277633,293488,170997,391830,278809,159877,187874,171545,423509,182854,671352,241490,359904,415623,207470,157572,122278,166626,220587,138002,158711,348522,180379,129949,205166,88516,127066,95522,115353,127642,199118,184601,387249,664691,174417,258684,239023,290416,1454369,339027,175871,352996,141696,210206,138024,250492,231184,85330,194459
29996,N-propylhexan-1-amine  ,148237,151944,244725,144601,110868,118199,111010,189230,185884.5,189689.7,204868,170920,204041,124020,212308,166386,225522,179261,104342.3,88774,104727,99910,107256,116257,118276,101650,95858,86455,115779,160884,122868,75419,137113,100118,151595,137334,139429,138168,124021,133699,145945,169818,170611,148100,166393,231830,135570,284693,128509,85341,71401,84559,103058.8
7720,2-ethylhexan-1-ol  ,623054,1049345,881756,895901,638956,911734,489266,548009,1312278,416394,1031269,1694665,1262815,691424,642068,721124,712443,498110,1321583,435619,409548,302004,689718,9932.873,277201,1155610,826439,776611,894328,1098997,185943,667630,520883,2330514,813201,1119604,498611,1195430,1055935,527168,846673,999048,1144074,1653592,1462699,2303.282,566102,1222567,843489,438326,880832,1257111,366220
138892,hexan-2-ylcyclopropane  ,71773,26354,23460,16253,14371,21759.62,10764,32573,27171,25885,7979,24265,26396,13283,34326,15668,36492,26480,22295,15776,6294,10277,9689,12466,5456,6321,17064,10806,9708,6192,6478,6253,7599,16687,20564,18982,30547,8071,16536,10826,25830,29117,10420,9646,9036,2766.674,9118,11600,5116,7669,11231,8841,6782
8914,nonan-1-ol  ,59710.29,9500,62156.96,7785,7958,10563,5654.879,80775.53,13562,11114.61,2687.188,11629,49965.76,6006,18157,8026.627,17628,12849.62,11212,46799.27,3311.838,4856,4782,6618,2886.746,3489,41823,5471,30044.25,2416.346,3501.994,3270.037,3589,7107,9698,9172,17244,4373.314,7823.468,7235.884,13347,73773.25,4997,5407,3574,26364.74,4489,6299.021,2151,4454,5813.784,4645.548,3999.483
13596727,2-but-3-enoxycarbonylbenzoic acid  ,8061,12293,16244.1,8661.515,8965,12722,6899.33,11760,11863,10990,56760,11579,12283,13736.3,15147,10731,13258,58388,10686,6853,24544,26291,26790,22130,23203,24912.55,6851,5386,5052,28637,35508,7188,24253,8233,10340,13017,10133,7605,6275,40814.34,9700,12945,57188,37402,51381.38,38580,38547,54389,30448,30381,22425,21441,24586
551986,"2-[(2,4,4,6,6,8,8-heptamethyl-1,3,5,7,2,4,6,8-tetraoxatetrasilocan-2-yl)oxy]-2,4,4,6,6,8,8,10,10-nonamethyl-1,3,5,7,9,2,4,6,8,10-pentaoxapentasilecane  ",6892.533,15218,10824.05,9415,5740,10520,9773.209,12605,15045,11739,10742.67,14935.65,9678,13704.23,8280.661,7289.627,7460,11975,20164,4771.76,5766,7559.479,11842.29,8381,9463,11070.21,7152,4161,5779,8195,10163,5572,5003.585,5549.144,40590,20585,4292.45,14132,9783,7663,10652,15727,15622.29,12383,9406,8773,6723,11369,9074,5387,9206,5725,8352.273
557545,4-(3-methyl-2-methylidenebut-3-enyl)oxolan-2-one  ,10447,19283,20099.17,11026.97,3671,8895,3180.753,21896,13405,4909,4049.278,14619,4709,4292.087,16799,5491,4725.942,18883,10309,5587,3996,4030.456,12736,8299,4130,1899.161,11195,4989,4613.5,2112.721,2851,1840.453,6339,2654.168,3216.478,5335.736,10873,3957.263,10361.93,11865,9626.657,15755,3358,4132.667,13458.77,1172.764,16492,9389,3236,2219.011,13087,6157,7475
23284,"[2,2,4-trimethyl-3-(2-methylpropanoyloxy)pentyl] 2-methylpropanoate  ",111573,260944,258261,249730,181964,193911,139529,290363,208200,140310,164319,144522,272429,161052,461411.5,201342,233660,306294,157402,113502,107130,123314,167620,120170,112823,207108,145008,107786,139495,62491,102587,82529,85433,98680,161060,176570,259086,423354,156357,206208,177175,205038,813238,229699,141298,266562,121222,199222,102755,169659,156673,76555,129357
520958,"1-(2,4-dimethylphenyl)-2,4-dimethylbenzene  ",9590,13902,11192,5678,8574,10886,6843,10198,12076,31896,4301,17388,10584,10319,15687,11243,16734,4864,7010.59,7456,1417.144,3489,2755.853,3032.397,5552.603,1840.878,6203,6149,4414,2481.954,2305.954,2524.585,1129.832,3969,13363,10637,7605.986,2913.601,7060,3613.825,8839,17566,1888.394,2069.586,2367.403,3221.765,3219.006,3062.283,1805.143,1151.709,3160,1228.988,1483.995
622439,"2,4-bis(trimethylsilyloxy)benzaldehyde",74785,79082.78,60857,62944.4,131217,73342,52955,59984,142545,54612,93730.11,71960,103308,273407,88352,99492.13,95197.89,70951,98202.28,48575,39612,56113,39925.95,42253,75883,48448,64699,50388.08,105637,54413.88,37278,42589,43830,86288.74,109270.6,76935,178172,56814,57638.47,63596,92671.75,91917,73449.66,84800,102547,75.89192,80921,45382,51254.22,56675,35287,52233.82,54000
6041429,"E)-3-(2,4-dimethoxyphenyl)-1-(2-hydroxyphenyl)prop-2-en-1-one  ",49178,32800,84792,10447,185993,13801,77433,113273,112678.2,97774.78,316114,106816,112192,71074,13094,85380,117815,78685,18723,264348,209476,58646.33,247826,64205,328447,444097,9880,159038,404149,307746,50158,224454,160295,86931,707338,433223,85606,216977,137679.6,268781,106963.3,106107,297720,266031,418377,86015,198190,306230,220174,165510,62552,174129,218540
556997,"2,4-dimethylhept-1-en-4-ol  ",6159,7750,5883.345,6181,5724,7038,2619.93,2396.775,9397,3902,7807,7471,11167,8862,5736,5671,3889,4339.258,8644,1929.761,2100.273,3716.271,2743,420.5448,3753,4416,4607,4223,5502,6869.658,806.2151,3559,4421,11577,10121,7433,9634,4650,3855.417,3422,8327,8435,5554,12738,10091,22940.62,6551,6055,7177,2474.115,6986,9263,3715
7311,"2,4-ditert-butylphenol  ",105221,143093,90185,110935,113721,94469.38,77936,199427,134244,189470,429256,162713,28717,211891,88040,155507,97801,97243,115593,218942,82148,111024,78473.81,178573,45128,63748,233187,151721,166938,45790,81895,216953,86989,326179,450627,243773,212419,63186.79,123330,67753,307477,141412,94360,67128,218203,149521,133203,130079,44509,44308,66584,76236,49430
5367531,"(2E,4E)-undeca-2,4-dienal  ",70971,33165,64133,24956,48061,56551,9446.705,63081,59425,8567,58383,7218.036,50309,34890,37542,26602,57695,29291,26562,2836.312,15929,25551,24885.84,1120.426,29861,4025.524,19331,6098,35882,9706,2570.791,3156.411,16439,30477.55,81349,21643.02,37255,4385.723,4657,23970,48763,64148,6626,27187,44300,136.9728,37146,6043,17693,18807,3445.225,16395,19439
8473,"bicyclo[2.2.1]hepta-2,5-diene  ",266283.3,1260106,727277,857457,2184903,1287946,10307.18,867932.8,667849,412431,927365,813020,2221128,117196,797238.9,1309218,10338.21,197617.9,4965.336,687834.5569,1191292,687834.5569,380190.8,281.5176,701247,73.6131,51.49157,834394,136.3761,112.5916,687834.5569,84012.11,37619.97,1035465,801424,820806,780767,865237,786060,1104710,1104970,925531,1190310,1529229,115781.2,687834.5569,0.7676883,783862,846628,1164568,4.224677,900015,778534
