pubchem_CID,IUPAC Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
17100,2-(4-methylcyclohex-3-en-1-yl)propan-2-ol ,246242,469486,444527,233639,378752,220692,500044,52691,1010859,86177,407579,241869,1201489,171015.3,289336.9,348162.6,34915,22898,566554,1036059,311560,177738,498844,165079,41527,385117,567857,339967,690016,333985,227884,33063,164211,119400,329474
6429350,"1-[(1R,7R)-4-methylidene-7-propan-2-yl-1,2,3,3a,5,6,7,7a-octahydroinden-1-yl]ethanone  ",11040.48,7268.941,17199,12631,13872,7884,8172,21932.72,16616,15974,18918,20490.65,16162.85,18520,9016.203,10775,17085.51,13606.99,6431.705,12147,6724,6209,9052,11993,10042.7,15923,11479,11624.39,17323,18740,9913.434,14934,15211.16,10024,13400
16821,5-octyloxolan-2-one  ,5996,5200,9477,10369,6770,8918,18290,11413,16455,12854,8622,8025,5298,7033,5248,2936.812,3202.551,2566.245,2183.943,2513.058,5346,2325.258,1850.987,1489.926,4635.279,2052.609,2706,2923,7525,2410.642,2053.102,3182,2588.421,1908.937,2021.558
6818,"1-O-butyl 2-O-(2-ethylhexyl) benzene-1,2-dicarboxylate  ",18294,8915,13290,21283.72,17836,15485.31,18351.04,18345.94,57798.86,17479.72,17478.4,16090,10998.48,15252,7569,10398.38,20738,4982.08,5522,4025,5400,4690,4457,13835.46,11652,16952,8942,6374.43,40354.39,24618,11862,12868,15392.85,10076,5835
76888,"N'-propan-2-ylpropane-1,3-diamine  ",173.3962,87.12218,544.049,116.4132,3342,3438,11733,8626,8768.151,3776,2406.321,2056.545,7895,8065,1117.76,6272,3757,4610,8174,827.4855,7646,312.0405,3974.794,537.6057,1229.461,5458,6598,4448,17449,2397.212,3479,5486,3126,464.3845,10864
136353,"2,3-dihydro-1,4-dioxine  ",1223.343,15783.36,3851.075,8834.985,61856,987.2957,53132,63182,1502.121,67311,75816,81.4833,58475,64895.03,71578,3474.406,83009,43099,64797.69,36515.08,22786,838.2779,1265.435,42090.51,25332,75980,66908,51417,45849.37,2548,51162,44450,35994.17,65416,59935
136569,"2,3,3-trimethylpenta-1,4-diene  ",15613,51962,79346,39232,74171,44044,128017,23100,166661,33550,79478,64775,167837,28295,65142,76362,51347,35927,80707,82957,73454,51822,66196,51752,15999,79605,164629,142100,95113,90439,41028,17372,49452,21982,78531
146102,"2,6-ditert-butyl-4-hydroxy-4-methylcyclohexa-2,5-dien-1-one  ",4603.543,5731,14584.27,8501.885,7991,9583.454,19814,13650,14584,14034,9856,15328.85,9526,19186,9912,10736,11389,8733,7898,9211,25892,11328.64,8839,5133.389,9865.09,8970.602,11879,8702.057,24401,8809.899,9984,15740,8979,10269.68,10784
1367,benzotriazol-1-amine,206474,1524075,266549,371025,742002,371879,260832,202352,1282223,277786,802869,928253,1283299,665750,433259,237742.8,219074,144011,173830,537607,437632,80080,194495,244020,140794,327227,490759,529276,210977,1357731,24793,165662,69048,38051.12,331284
29996,N-propylhexan-1-amine  ,135279,126288,223682,149651,126643,132614,158202,185257,222822,182517,176614,252460,173963,221847,106083,99610,153313,103381,89127,120406,109335,66016,82301,100447,99455,167714.9,163189,126893,188694,185713,114408,96188,129371,91601,260064
