pubchem_CID,IUPAC Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
576372,"3,3-dimethylindazole  ",443310,351547.1,58853.79,154739,141076,308234,253162,81231.26,95340.06,264212,175501.3,350525,252699.5,124280.9,752723,313691,57782,241510,220230,156277,504864,280331,97195,103927.4,403447.3,72446,199289,360971,245168,226395,271813.3,68822.17,294432
17100,2-(4-methylcyclohex-3-en-1-yl)propan-2-ol ,1164955,70388,170564,144907,407829,94436,300622,346261,290814.8,337226,57629,522441,434285.3,245283,614891,458823,194749.3,473113,254386.4,244790,317912,547618,63758,282731,317051,146581,314577,401592,609138,88728,389474,25748,61419
6429350,"1-[(1R,7R)-4-methylidene-7-propan-2-yl-1,2,3,3a,5,6,7,7a-octahydroinden-1-yl]ethanone  ",10770,22465,7861,16192,9622.308,9817,12082.87,13347,7624,16545.21,15824,18726.24,11136.14,18590,22577,11470,6113,4860,8746.811,12435,8841,9098,6254,6004,13155,5637,9060,18321.78,12467.64,10605,20896,15475,11807
16821,5-octyloxolan-2-one  ,11442,24331,5868,8156,12025,16821,6800,6396,7219,12584,17797,15685,9046,7875,18081,9894.112,1733.425,3122,2400.442,2084.555,2640,3479,7001,2677.368,2902,4049,2427.898,5869,3800,4527,8349,763.3093,2286.814
91711798,[2-(2-acetyloxyacetyl)oxyphenyl] 3-fluorobenzoate  ,3812.113,9232,23280,15482,23453,9614,34757,7258,15874,39573,15424,54702,26258,3587.08,7319,10160,6305,2468.738,15608,17321,9306,9700,1581.714,11271,15865,15200,5315.478,25969,22887,5065,20181,7675,8722
91711798,[2-(2-acetyloxyacetyl)oxyphenyl] 3-fluorobenzoate  ,48449,17929.27,19681.96,19176.65,29184.95,30424.02,39134.54,24629,30895,26666,26725.39,39539,42179,19023,32071.8,37159.21,18760,16598,24024,10687,19848.67,29244,14348.9,23607,33409.9,12452,11085.77,45371,39979.38,16095,20206,4541,13980
136569,"2,3,3-trimethylpenta-1,4-diene  ",128328,10710,42866,797706,70340,27825,74558,57226,64322,101016,33069,101522,101293,94679,134990,111175,47761,94910,68603,38763,108120,116549,9846,60477,90002,37877,53322,111686,98429,15369,64089,12191,13031
146102,"2,6-ditert-butyl-4-hydroxy-4-methylcyclohexa-2,5-dien-1-one  ",10380,22937.19,6447.487,7966,15601,10475.17,12075,7269,7127.357,11714.82,14866,12207.08,13968,11316.43,19129,15889.73,5686.425,13376,8387,7828,11485,10424,28651,8233.44,12896,19726,9628,35441,17346,14788,22372,6331,10873
537092,4-propan-2-yloxybutan-1-ol  ,149046,196173,118065,128978,353251,228160,282216,135592,162560,289973,216273,407102,344255,263080,127363,224074,160396,58277,154122,162816,97017,168818,104568,112138,149008,235539,195722,313311,347243,185281,243762,73715,94330
13381,dec-1-ene,13677.03,13265.02,7569.06,6120,8334,14468,10387.39,7239,9247,13247,13215,15145.1,13505,14467.75,16437.86,13142,6760,7165,7788.585,6839,9414,7826.215,6703.026,8256,6825,6210,7078,12224,13788,11269.51,10957.82,4649.193,6738
